sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
M1	38016	32582	85.71	27245	26715	70.27
M2	38017	31908	83.93	26742	26257	69.07
M3	37933	32031	84.44	27345	26815	70.69
M4	38191	32069	83.97	26715	26360	69.02
M5	28767	24603	85.53	20374	20158	70.07
M7	39096	33292	85.15	28222	27226	69.64
M8	41707	35436	84.96	29938	29603	70.98
O2	37609	31505	83.77	26277	26016	69.17
O3	29390	23977	81.58	19195	18930	64.41
O4	34129	28349	83.06	23510	23110	67.71
O5	37405	30723	82.14	25487	25048	66.96
O7	32073	26940	84	22503	21971	68.5
O8	41868	35721	85.32	29937	29433	70.3
O9	37156	31638	85.15	27495	26126	70.31
W2	40770	34779	85.31	29815	29118	71.42
W4	36774	31005	84.31	26982	25974	70.63
W5	38738	32796	84.66	28131	27780	71.71
W6	38784	32686	84.28	27937	27505	70.92
W7	32307	27462	85	23117	22853	70.74
W8	38266	32862	85.88	27841	26865	70.21
W9	40682	34183	84.02	29129	28557	70.2
